AFS PO Number,AFS Line,Plant,Division,Line,Product Group,Vendor Name,Material,PO_Create_Date,NDC_Date,Planned_Ship_Date,Actual_Ship_Date,Transit_Mode,Transit_Time_Days,Expected_Arrival_Date,Reason_Code,Units,Late
PO000001,2,2002,1,Mainline,RTW,EverGreen Fabrics,MAT00065,2025-05-22,2025-07-07,2025-05-24,2025-05-29,Sea,47,2025-07-15,Uncontrollable,925,Yes
PO000002,6,1003,1,Mainline,ACC,Crimson Stitch Co,MAT00045,2025-05-13,2025-08-08,2025-06-22,2025-07-06,Sea,43,2025-08-18,Factory_Delay,1074,Yes
PO000003,3,2002,1,Mainline,APP,EverGreen Fabrics,MAT00025,2025-06-02,2025-08-08,2025-06-23,2025-07-07,Sea,37,2025-08-13,Uncontrollable,1475,Yes
PO000004,7,1001,1,Mainline,HBG,Alpha Apparel Ltd,MAT00054,2025-05-03,2025-06-17,2025-05-04,2025-05-12,Sea,50,2025-07-01,Factory_Delay,833,Yes
PO000005,6,2001,1,Mainline,SHO,Delta Footwear,MAT00092,2025-05-26,2025-07-02,2025-05-22,2025-05-26,Sea,45,2025-07-10,Factory_Delay,551,Yes
PO000006,7,1001,1,Mainline,RTW,Alpha Apparel Ltd,MAT00092,2025-05-29,2025-07-10,2025-05-23,2025-05-23,Air,8,2025-05-31,Internal_Delay,499,No
PO000007,2,3001,2,Mainline,HBG,Falcon Garments,MAT00065,2025-05-18,2025-08-04,2025-06-25,2025-07-02,Truck,7,2025-07-09,Transport_Disruption,154,No
PO000008,3,1001,1,Mainline,APP,Alpha Apparel Ltd,MAT00081,2025-05-05,2025-06-08,2025-04-24,2025-05-05,Sea,39,2025-06-13,Uncontrollable,726,Yes
PO000009,2,1002,1,Mainline,HBG,BlueOcean Textiles,MAT00110,2025-05-01,2025-07-20,2025-06-03,2025-06-16,Sea,42,2025-07-28,Factory_Delay,203,Yes
PO000010,2,1002,1,Outlet,SHO,BlueOcean Textiles,MAT00012,2025-05-01,2025-07-23,2025-06-07,2025-06-22,Truck,7,2025-06-29,Factory_Delay,673,No
PO000011,7,2002,1,Outlet,ACC,EverGreen Fabrics,MAT00103,2025-06-03,2025-08-09,2025-06-21,2025-06-22,Air,7,2025-06-29,Transport_Disruption,298,No
PO000012,6,1001,2,Mainline,SHO,Alpha Apparel Ltd,MAT00051,2025-05-17,2025-06-20,2025-05-04,2025-05-04,Truck,7,2025-05-11,Material_Delay,1033,No
PO000013,5,1002,1,Mainline,ACC,BlueOcean Textiles,MAT00043,2025-05-11,2025-07-02,2025-05-19,2025-05-31,Sea,38,2025-07-08,Transport_Disruption,330,Yes
PO000014,3,1003,1,Outlet,RTW,Crimson Stitch Co,MAT00051,2025-05-19,2025-07-08,2025-05-23,2025-05-28,Sea,40,2025-07-07,Material_Delay,1478,No
PO000015,6,1001,1,Mainline,SHO,Alpha Apparel Ltd,MAT00049,2025-05-14,2025-09-10,2025-08-01,2025-08-11,Sea,48,2025-09-28,Factory_Delay,156,Yes
PO000016,7,2002,1,Outlet,HBG,EverGreen Fabrics,MAT00099,2025-05-15,2025-07-30,2025-06-17,2025-07-04,Sea,41,2025-08-14,Material_Delay,127,Yes
PO000017,2,2002,1,Mainline,ACC,EverGreen Fabrics,MAT00007,2025-05-03,2025-06-24,2025-05-15,2025-05-24,Sea,49,2025-07-12,Material_Delay,1265,Yes
PO000018,1,2002,1,Mainline,HBG,EverGreen Fabrics,MAT00103,2025-05-22,2025-09-18,2025-08-07,2025-08-08,Sea,38,2025-09-15,Internal_Delay,1467,No
PO000019,3,1001,1,Mainline,SHO,Alpha Apparel Ltd,MAT00008,2025-05-19,2025-07-29,2025-06-17,2025-06-28,Sea,45,2025-08-12,Material_Delay,926,Yes
PO000020,6,2002,2,Mainline,RTW,EverGreen Fabrics,MAT00070,2025-05-06,2025-06-08,2025-04-29,2025-05-11,Truck,14,2025-05-25,Factory_Delay,872,No
PO000021,1,1003,1,Mainline,APP,Crimson Stitch Co,MAT00024,2025-05-31,2025-07-05,2025-05-17,2025-05-22,Truck,15,2025-06-06,Transport_Disruption,243,No
PO000022,7,1003,1,Mainline,APP,Crimson Stitch Co,MAT00005,2025-05-06,2025-06-30,2025-05-16,2025-05-23,Sea,38,2025-06-30,Transport_Disruption,162,No
PO000023,4,1001,1,Mainline,RTW,Alpha Apparel Ltd,MAT00011,2025-05-13,2025-06-14,2025-04-25,2025-05-17,Sea,36,2025-06-22,Material_Delay,62,Yes
PO000024,2,2001,1,Mainline,HBG,Delta Footwear,MAT00009,2025-05-11,2025-06-24,2025-05-12,2025-05-12,Truck,7,2025-05-19,Transport_Disruption,367,No
PO000025,4,2001,1,Outlet,ACC,Delta Footwear,MAT00009,2025-06-03,2025-09-16,2025-07-30,2025-08-09,Truck,14,2025-08-23,Factory_Delay,922,No
PO000026,5,3001,2,Outlet,RTW,Falcon Garments,MAT00005,2025-05-19,2025-09-03,2025-07-24,2025-08-20,Sea,44,2025-10-03,Uncontrollable,138,Yes
PO000027,2,3001,2,Mainline,HBG,Falcon Garments,MAT00023,2025-05-15,2025-07-08,2025-05-19,2025-05-25,Air,6,2025-05-31,Internal_Delay,1112,No
PO000028,3,3001,2,Mainline,SHO,Falcon Garments,MAT00064,2025-05-15,2025-07-12,2025-05-23,2025-05-23,Truck,10,2025-06-02,Material_Delay,206,No
PO000029,6,1001,1,Mainline,HBG,Alpha Apparel Ltd,MAT00068,2025-05-22,2025-08-25,2025-07-15,2025-07-22,Sea,49,2025-09-09,Material_Delay,277,Yes
PO000030,5,2001,1,Outlet,RTW,Delta Footwear,MAT00029,2025-05-04,2025-08-17,2025-06-29,2025-07-08,Sea,38,2025-08-15,Factory_Delay,1365,No
PO000031,2,1003,1,Outlet,SHO,Crimson Stitch Co,MAT00104,2025-05-06,2025-08-15,2025-07-02,2025-07-13,Sea,49,2025-08-31,Material_Delay,877,Yes
