Division,Product Group,Old material number,Generic Material,Material,Material Description,Season,On Hand Units,Start Ship Date,Cancel Date,Business Unit
Mainline,RTW,OLD00001,GEN0001,MAT00001,DEN MAT00001 Skirt Red,Fall,,,,
Mainline,SHO,OLD00002,GEN0002,MAT00002,SHO MAT00002 Sneaker Red,Summer,,,,
Mainline,ACC,OLD00003,GEN0003,MAT00003,ACC MAT00003 Top Olive,Holiday,,,,
Outlet,SHO,OLD00004,GEN0004,MAT00004,SHO MAT00004 Bag Olive,Fall,,,,
Mainline,RTW,OLD00005,GEN0005,MAT00005,DEN MAT00005 Bag Black,Summer,,,,
Mainline,SHO,OLD00006,GEN0006,MAT00006,SHO MAT00006 Bag Tan,Summer,,,,
Mainline,ACC,OLD00007,GEN0007,MAT00007,ACC MAT00007 Bag Tan,Fall,,,,
Mainline,ACC,OLD00008,GEN0008,MAT00008,ACC MAT00008 Skirt Olive,Summer,,,,
Mainline,HBG,OLD00009,GEN0009,MAT00009,HBG MAT00009 Bag White,Fall,,,,
Mainline,RTW,OLD00010,GEN0010,MAT00010,DEN MAT00010 Dress Tan,Spring,,,,
Mainline,APP,OLD00011,GEN0011,MAT00011,APP MAT00011 Jean Red,Holiday,,,,
Mainline,APP,OLD00012,GEN0012,MAT00012,APP MAT00012 Dress White,Fall,,,,
Mainline,RTW,OLD00013,GEN0013,MAT00013,DEN MAT00013 Skirt Navy,Fall,,,,
Outlet,APP,OLD00014,GEN0014,MAT00014,APP MAT00014 Top White,Spring,,,,
Mainline,RTW,OLD00015,GEN0015,MAT00015,DEN MAT00015 Jean Navy,Fall,,,,
Mainline,HBG,OLD00016,GEN0016,MAT00016,HBG MAT00016 Bag Tan,Fall,,,,
Mainline,RTW,OLD00017,GEN0017,MAT00017,DEN MAT00017 Jacket Black,Holiday,,,,
Outlet,APP,OLD00018,GEN0018,MAT00018,APP MAT00018 Skirt Red,Spring,,,,
Outlet,ACC,OLD00019,GEN0019,MAT00019,ACC MAT00019 Jacket Red,Spring,,,,
Mainline,HBG,OLD00020,GEN0020,MAT00020,HBG MAT00020 Bag Black,Fall,,,,
Mainline,RTW,OLD00021,GEN0021,MAT00021,DEN MAT00021 Sneaker Tan,Fall,,,,
Outlet,HBG,OLD00022,GEN0022,MAT00022,HBG MAT00022 Sneaker Olive,Holiday,,,,
Outlet,RTW,OLD00023,GEN0023,MAT00023,DEN MAT00023 Dress White,Summer,,,,
Mainline,SHO,OLD00024,GEN0024,MAT00024,SHO MAT00024 Dress Tan,Spring,,,,
Mainline,HBG,OLD00025,GEN0025,MAT00025,HBG MAT00025 Bag Olive,Fall,,,,
Outlet,RTW,OLD00026,GEN0026,MAT00026,DEN MAT00026 Skirt Red,Spring,,,,
Outlet,ACC,OLD00027,GEN0027,MAT00027,ACC MAT00027 Sneaker White,Holiday,,,,
Mainline,HBG,OLD00028,GEN0028,MAT00028,HBG MAT00028 Jean White,Summer,,,,
Mainline,APP,OLD00029,GEN0029,MAT00029,APP MAT00029 Top White,Fall,,,,
Outlet,APP,OLD00030,GEN0030,MAT00030,APP MAT00030 Jacket White,Spring,,,,
Mainline,HBG,OLD00031,GEN0031,MAT00031,HBG MAT00031 Bag Olive,Holiday,,,,
Mainline,ACC,OLD00032,GEN0032,MAT00032,ACC MAT00032 Jacket White,Spring,,,,
Mainline,APP,OLD00033,GEN0033,MAT00033,APP MAT00033 Skirt Red,Summer,,,,
Mainline,HBG,OLD00034,GEN0034,MAT00034,HBG MAT00034 Bag Black,Spring,,,,
Mainline,APP,OLD00035,GEN0035,MAT00035,APP MAT00035 Top Navy,Fall,,,,
Mainline,HBG,OLD00036,GEN0036,MAT00036,HBG MAT00036 Sneaker Black,Holiday,,,,
Mainline,RTW,OLD00037,GEN0037,MAT00037,DEN MAT00037 Jacket Black,Spring,,,,
Mainline,APP,OLD00038,GEN0038,MAT00038,APP MAT00038 Dress White,Spring,,,,
Mainline,ACC,OLD00039,GEN0039,MAT00039,ACC MAT00039 Sneaker Black,Fall,,,,
Mainline,APP,OLD00040,GEN0040,MAT00040,APP MAT00040 Dress White,Summer,,,,
Outlet,HBG,OLD00041,GEN0041,MAT00041,HBG MAT00041 Jacket Tan,Fall,,,,
Mainline,ACC,OLD00042,GEN0042,MAT00042,ACC MAT00042 Bag Tan,Fall,,,,
Mainline,ACC,OLD00043,GEN0043,MAT00043,ACC MAT00043 Skirt Red,Summer,,,,
Mainline,HBG,OLD00044,GEN0044,MAT00044,HBG MAT00044 Jacket Navy,Fall,,,,
Mainline,HBG,OLD00045,GEN0045,MAT00045,HBG MAT00045 Jacket Navy,Holiday,,,,
Outlet,ACC,OLD00046,GEN0046,MAT00046,ACC MAT00046 Skirt Tan,Spring,,,,
Outlet,APP,OLD00047,GEN0047,MAT00047,APP MAT00047 Bag Black,Spring,,,,
Mainline,APP,OLD00048,GEN0048,MAT00048,APP MAT00048 Jean Olive,Holiday,,,,
Mainline,HBG,OLD00049,GEN0049,MAT00049,HBG MAT00049 Sneaker Red,Fall,,,,
Outlet,HBG,OLD00050,GEN0050,MAT00050,HBG MAT00050 Bag Red,Holiday,,,,
Outlet,APP,OLD00051,GEN0051,MAT00051,APP MAT00051 Top Red,Summer,,,,
Outlet,HBG,OLD00052,GEN0052,MAT00052,HBG MAT00052 Jean Navy,Spring,,,,
Mainline,ACC,OLD00053,GEN0053,MAT00053,ACC MAT00053 Jean Black,Spring,,,,
Mainline,RTW,OLD00054,GEN0054,MAT00054,DEN MAT00054 Bag Red,Fall,,,,
Mainline,APP,OLD00055,GEN0055,MAT00055,APP MAT00055 Sneaker Red,Fall,,,,
Mainline,RTW,OLD00056,GEN0056,MAT00056,DEN MAT00056 Sneaker White,Holiday,,,,
Mainline,RTW,OLD00057,GEN0057,MAT00057,DEN MAT00057 Top Black,Fall,,,,
Mainline,RTW,OLD00058,GEN0058,MAT00058,DEN MAT00058 Bag Olive,Summer,,,,
Mainline,HBG,OLD00059,GEN0059,MAT00059,HBG MAT00059 Jacket Tan,Holiday,,,,
Outlet,RTW,OLD00060,GEN0060,MAT00060,DEN MAT00060 Top Red,Fall,,,,
Outlet,RTW,OLD00061,GEN0061,MAT00061,DEN MAT00061 Jacket White,Holiday,,,,
Outlet,HBG,OLD00062,GEN0062,MAT00062,HBG MAT00062 Bag Olive,Summer,,,,
Outlet,ACC,OLD00063,GEN0063,MAT00063,ACC MAT00063 Dress Black,Summer,,,,
Outlet,ACC,OLD00064,GEN0064,MAT00064,ACC MAT00064 Top Navy,Fall,,,,
Outlet,SHO,OLD00065,GEN0065,MAT00065,SHO MAT00065 Skirt Red,Summer,,,,
Mainline,HBG,OLD00066,GEN0066,MAT00066,HBG MAT00066 Jacket Red,Fall,,,,
Mainline,SHO,OLD00067,GEN0067,MAT00067,SHO MAT00067 Skirt Navy,Fall,,,,
Outlet,RTW,OLD00068,GEN0068,MAT00068,DEN MAT00068 Bag Navy,Spring,,,,
Mainline,APP,OLD00069,GEN0069,MAT00069,APP MAT00069 Jacket White,Fall,,,,
Outlet,APP,OLD00070,GEN0070,MAT00070,APP MAT00070 Dress Navy,Summer,,,,
Mainline,ACC,OLD00071,GEN0071,MAT00071,ACC MAT00071 Jacket Navy,Fall,,,,
Mainline,SHO,OLD00072,GEN0072,MAT00072,SHO MAT00072 Dress White,Summer,,,,
Mainline,ACC,OLD00073,GEN0073,MAT00073,ACC MAT00073 Bag Olive,Fall,,,,
Outlet,APP,OLD00074,GEN0074,MAT00074,APP MAT00074 Bag Olive,Summer,,,,
Outlet,APP,OLD00075,GEN0075,MAT00075,APP MAT00075 Top Red,Fall,,,,
Outlet,RTW,OLD00076,GEN0076,MAT00076,DEN MAT00076 Dress Tan,Fall,,,,
Mainline,ACC,OLD00077,GEN0077,MAT00077,ACC MAT00077 Bag Navy,Spring,,,,
Mainline,RTW,OLD00078,GEN0078,MAT00078,DEN MAT00078 Top Black,Fall,,,,
Mainline,SHO,OLD00079,GEN0079,MAT00079,SHO MAT00079 Jacket Navy,Spring,,,,
Mainline,HBG,OLD00080,GEN0080,MAT00080,HBG MAT00080 Jean Olive,Fall,,,,
Mainline,RTW,OLD00081,GEN0081,MAT00081,DEN MAT00081 Top Olive,Summer,,,,
Mainline,ACC,OLD00082,GEN0082,MAT00082,ACC MAT00082 Jean White,Spring,,,,
Mainline,RTW,OLD00083,GEN0083,MAT00083,DEN MAT00083 Skirt Black,Summer,,,,
Outlet,RTW,OLD00084,GEN0084,MAT00084,DEN MAT00084 Bag Navy,Fall,,,,
Outlet,APP,OLD00085,GEN0085,MAT00085,APP MAT00085 Jacket White,Summer,,,,
Mainline,SHO,OLD00086,GEN0086,MAT00086,SHO MAT00086 Top Olive,Holiday,,,,
Mainline,SHO,OLD00087,GEN0087,MAT00087,SHO MAT00087 Dress Red,Fall,,,,
Outlet,RTW,OLD00088,GEN0088,MAT00088,DEN MAT00088 Jean Tan,Fall,,,,
Outlet,SHO,OLD00089,GEN0089,MAT00089,SHO MAT00089 Jacket Tan,Fall,,,,
Outlet,APP,OLD00090,GEN0090,MAT00090,APP MAT00090 Dress Red,Fall,,,,
Mainline,ACC,OLD00091,GEN0091,MAT00091,ACC MAT00091 Sneaker Olive,Fall,,,,
Outlet,SHO,OLD00092,GEN0092,MAT00092,SHO MAT00092 Sneaker Tan,Summer,,,,
Mainline,SHO,OLD00093,GEN0093,MAT00093,SHO MAT00093 Jean Red,Fall,,,,
Mainline,SHO,OLD00094,GEN0094,MAT00094,SHO MAT00094 Jean Navy,Fall,,,,
Mainline,ACC,OLD00095,GEN0095,MAT00095,ACC MAT00095 Jacket Tan,Fall,,,,
Mainline,ACC,OLD00096,GEN0096,MAT00096,ACC MAT00096 Jean Tan,Summer,,,,
Outlet,APP,OLD00097,GEN0097,MAT00097,APP MAT00097 Dress Olive,Fall,,,,
Outlet,HBG,OLD00098,GEN0098,MAT00098,HBG MAT00098 Sneaker Tan,Summer,,,,
Outlet,RTW,OLD00099,GEN0099,MAT00099,DEN MAT00099 Bag Black,Fall,,,,
Outlet,ACC,OLD00100,GEN0100,MAT00100,ACC MAT00100 Jacket White,Holiday,,,,
Mainline,HBG,OLD00101,GEN0101,MAT00101,HBG MAT00101 Top Olive,Holiday,,,,
Mainline,APP,OLD00102,GEN0102,MAT00102,APP MAT00102 Jean Black,Fall,,,,
Mainline,APP,OLD00103,GEN0103,MAT00103,APP MAT00103 Top Tan,Fall,,,,
Mainline,RTW,OLD00104,GEN0104,MAT00104,DEN MAT00104 Jean Red,Fall,,,,
Mainline,RTW,OLD00105,GEN0105,MAT00105,DEN MAT00105 Bag Olive,Fall,,,,
Outlet,RTW,OLD00106,GEN0106,MAT00106,DEN MAT00106 Jean Navy,Holiday,,,,
Outlet,SHO,OLD00107,GEN0107,MAT00107,SHO MAT00107 Jean Red,Holiday,,,,
Mainline,SHO,OLD00108,GEN0108,MAT00108,SHO MAT00108 Skirt Tan,Fall,,,,
Outlet,HBG,OLD00109,GEN0109,MAT00109,HBG MAT00109 Jean White,Spring,,,,
Outlet,SHO,OLD00110,GEN0110,MAT00110,SHO MAT00110 Jacket Navy,Holiday,,,,
