Order_ID,Order_Date,Wave_Date,Ship_Date,Units_Ordered,Units_Invoiced,Channel,Avg_Price,Margin_Pct,Material,AFS PO Number
ORD000001,2025-07-09,2025-07-12,2025-07-13,415,408,Retail,118.37,0.4,MAT00084,PO000493
ORD000002,2025-06-09,2025-06-10,2025-06-15,158,158,Retail,176.66,0.4,MAT00090,PO000368
ORD000003,2025-10-05,2025-10-05,2025-10-10,350,350,Retail,209.48,0.4,MAT00041,PO000152
ORD000004,2025-06-28,2025-06-29,2025-06-30,383,383,Wholesale,328.24,0.2,MAT00021,PO000159
ORD000005,2025-06-24,2025-06-25,2025-06-30,337,337,Retail,117.81,0.4,MAT00027,PO000479
ORD000006,2025-09-05,2025-09-08,2025-09-10,175,175,Retail,386.63,0.4,MAT00055,PO000488
ORD000007,2025-09-05,2025-09-07,2025-09-09,261,261,Wholesale,377.95,0.2,MAT00011,PO000366
ORD000008,2025-06-02,2025-06-02,2025-06-06,291,291,Retail,96.77,0.4,MAT00098,PO000407
ORD000009,2025-09-12,2025-09-14,2025-09-18,56,56,Ecom,376.02,0.5,MAT00109,PO000086
ORD000010,2025-10-22,2025-10-23,2025-10-26,115,115,Wholesale,135.46,0.2,MAT00096,PO000100
ORD000011,2025-10-24,2025-10-24,2025-10-26,77,77,Ecom,396.5,0.5,MAT00012,PO000227
ORD000012,2025-07-04,2025-07-06,2025-07-09,548,548,Wholesale,340.24,0.2,MAT00071,PO000429
ORD000013,2025-10-10,2025-10-10,2025-10-11,474,474,Ecom,159.75,0.5,MAT00001,PO000011
ORD000014,2025-09-01,2025-09-01,2025-09-05,100,91,Retail,166.66,0.4,MAT00064,PO000471
ORD000015,2025-09-04,2025-09-04,2025-09-08,318,318,Wholesale,299.89,0.2,MAT00108,PO000183
ORD000016,2025-10-27,2025-10-28,2025-10-31,434,434,Retail,185.34,0.4,MAT00022,PO000333
ORD000017,2025-06-07,2025-06-07,2025-06-11,196,196,Wholesale,173.49,0.2,MAT00092,PO000447
ORD000018,2025-06-13,2025-06-14,2025-06-19,293,293,Wholesale,193.87,0.2,MAT00024,PO000044
ORD000019,2025-09-16,2025-09-19,2025-09-24,71,71,Wholesale,53.74,0.2,MAT00059,PO000460
ORD000020,2025-07-17,2025-07-20,2025-07-23,140,140,Retail,110.61,0.4,MAT00106,PO000049
ORD000021,2025-07-16,2025-07-16,2025-07-17,467,467,Ecom,165.46,0.5,MAT00005,PO000351
ORD000022,2025-07-13,2025-07-14,2025-07-17,428,428,Retail,348.55,0.4,MAT00087,PO000354
ORD000023,2025-06-04,2025-06-06,2025-06-09,70,63,Ecom,239.43,0.5,MAT00056,PO000485
ORD000024,2025-06-28,2025-07-01,2025-07-04,439,439,Ecom,293.81,0.5,MAT00076,PO000009
ORD000025,2025-07-19,2025-07-20,2025-07-22,558,558,Ecom,251.6,0.5,MAT00006,PO000161
ORD000026,2025-07-22,2025-07-23,2025-07-27,529,523,Ecom,251.32,0.5,MAT00075,PO000014
ORD000027,2025-09-14,2025-09-14,2025-09-17,185,185,Ecom,298.02,0.5,MAT00015,PO000477
ORD000028,2025-10-13,2025-10-16,2025-10-20,524,524,Retail,243.59,0.4,MAT00086,PO000122
ORD000029,2025-06-25,2025-06-25,2025-06-29,585,585,Wholesale,183.11,0.2,MAT00021,PO000323
ORD000030,2025-09-29,2025-10-02,2025-10-05,523,523,Retail,371.69,0.4,MAT00012,PO000171
ORD000031,2025-09-20,2025-09-22,2025-09-26,161,161,Wholesale,83.71,0.2,MAT00056,PO000202
ORD000032,2025-07-14,2025-07-16,2025-07-20,414,414,Retail,296.56,0.4,MAT00016,PO000379
ORD000033,2025-08-22,2025-08-25,2025-08-27,509,509,Retail,286.47,0.4,MAT00096,PO000468
ORD000034,2025-08-22,2025-08-25,2025-08-27,331,331,Ecom,48.42,0.5,MAT00054,PO000130
ORD000035,2025-09-19,2025-09-19,2025-09-22,41,41,Retail,59,0.4,MAT00025,PO000374
ORD000036,2025-08-28,2025-08-31,2025-09-03,68,68,Wholesale,287.63,0.2,MAT00074,PO000004
ORD000037,2025-09-13,2025-09-14,2025-09-19,272,272,Wholesale,171.04,0.2,MAT00038,PO000066
ORD000038,2025-08-14,2025-08-16,2025-08-18,331,331,Retail,232.83,0.4,MAT00077,PO000512
ORD000039,2025-07-17,2025-07-18,2025-07-21,179,179,Ecom,87.58,0.5,MAT00101,PO000416
ORD000040,2025-06-05,2025-06-06,2025-06-09,367,367,Retail,94.11,0.4,MAT00029,PO000243
ORD000041,2025-09-07,2025-09-08,2025-09-13,45,45,Wholesale,248.15,0.2,MAT00110,PO000283
ORD000042,2025-09-02,2025-09-04,2025-09-05,215,215,Retail,265.8,0.4,MAT00047,PO000005
ORD000043,2025-09-23,2025-09-23,2025-09-27,40,40,Wholesale,323.64,0.2,MAT00104,PO000181
ORD000044,2025-07-24,2025-07-24,2025-07-28,295,295,Wholesale,308.13,0.2,MAT00052,PO000154
ORD000045,2025-10-26,2025-10-26,2025-10-29,317,317,Wholesale,134.08,0.2,MAT00058,PO000206
ORD000046,2025-06-16,2025-06-16,2025-06-19,464,464,Retail,248.21,0.4,MAT00028,PO000485
ORD000047,2025-10-10,2025-10-10,2025-10-15,91,91,Wholesale,66.62,0.2,MAT00049,PO000047
ORD000048,2025-08-12,2025-08-15,2025-08-19,163,162,Wholesale,46.14,0.2,MAT00064,PO000300
ORD000049,2025-08-03,2025-08-03,2025-08-05,145,145,Retail,320.13,0.4,MAT00045,PO000411
ORD000050,2025-10-09,2025-10-12,2025-10-14,507,507,Ecom,116.93,0.5,MAT00030,PO000288
ORD000051,2025-08-06,2025-08-09,2025-08-14,425,425,Ecom,340.34,0.5,MAT00030,PO000492
ORD000052,2025-09-29,2025-10-02,2025-10-05,428,428,Retail,306.29,0.4,MAT00073,PO000341
ORD000053,2025-07-01,2025-07-03,2025-07-04,338,338,Wholesale,226.66,0.2,MAT00057,PO000003
ORD000054,2025-10-04,2025-10-04,2025-10-06,583,583,Ecom,133.36,0.5,MAT00084,PO000433
ORD000055,2025-06-14,2025-06-14,2025-06-19,301,301,Retail,91.23,0.4,MAT00084,PO000150
ORD000056,2025-07-16,2025-07-19,2025-07-24,562,558,Ecom,98.87,0.5,MAT00094,PO000517
ORD000057,2025-09-17,2025-09-20,2025-09-25,96,89,Retail,86.12,0.4,MAT00040,PO000338
ORD000058,2025-08-18,2025-08-21,2025-08-23,439,439,Ecom,330.65,0.5,MAT00016,PO000200
ORD000059,2025-09-28,2025-09-28,2025-10-02,115,115,Wholesale,180.36,0.2,MAT00013,PO000456
ORD000060,2025-08-09,2025-08-12,2025-08-15,423,423,Retail,74.78,0.4,MAT00070,PO000031
ORD000061,2025-07-22,2025-07-23,2025-07-28,479,479,Retail,250.39,0.4,MAT00091,PO000068
ORD000062,2025-06-05,2025-06-06,2025-06-08,143,143,Retail,227.8,0.4,MAT00072,PO000407
ORD000063,2025-08-31,2025-09-02,2025-09-06,547,547,Retail,123.51,0.4,MAT00077,PO000107
ORD000064,2025-09-30,2025-10-02,2025-10-05,477,477,Wholesale,76.5,0.2,MAT00082,PO000449
ORD000065,2025-06-11,2025-06-14,2025-06-18,98,98,Retail,230.24,0.4,MAT00062,PO000053
ORD000066,2025-08-26,2025-08-29,2025-08-30,530,529,Wholesale,127.1,0.2,MAT00058,PO000151
ORD000067,2025-09-26,2025-09-29,2025-10-04,257,257,Wholesale,131.9,0.2,MAT00094,PO000103
ORD000068,2025-06-07,2025-06-09,2025-06-12,373,373,Retail,118.77,0.4,MAT00071,PO000300
ORD000069,2025-07-10,2025-07-10,2025-07-14,168,168,Ecom,311.48,0.5,MAT00049,PO000050
ORD000070,2025-08-08,2025-08-09,2025-08-14,481,481,Wholesale,178.26,0.2,MAT00060,PO000180
ORD000071,2025-06-07,2025-06-09,2025-06-11,362,362,Wholesale,110.95,0.2,MAT00109,PO000078
ORD000072,2025-08-20,2025-08-20,2025-08-21,418,418,Wholesale,154.9,0.2,MAT00089,PO000270
ORD000073,2025-09-02,2025-09-03,2025-09-08,540,540,Ecom,126.67,0.5,MAT00022,PO000371
ORD000074,2025-10-12,2025-10-12,2025-10-16,396,396,Wholesale,103.11,0.2,MAT00049,PO000515
ORD000075,2025-07-08,2025-07-10,2025-07-12,298,298,Retail,396.94,0.4,MAT00019,PO000390
ORD000076,2025-06-23,2025-06-25,2025-06-28,593,593,Wholesale,240.19,0.2,MAT00097,PO000091
ORD000077,2025-08-31,2025-09-02,2025-09-05,503,503,Retail,275.83,0.4,MAT00030,PO000016
ORD000078,2025-08-12,2025-08-13,2025-08-16,431,431,Retail,156.92,0.4,MAT00100,PO000327
ORD000079,2025-08-29,2025-08-29,2025-08-30,565,565,Wholesale,388.27,0.2,MAT00072,PO000046
ORD000080,2025-10-29,2025-11-01,2025-11-02,126,126,Retail,313.9,0.4,MAT00105,PO000455
ORD000081,2025-09-14,2025-09-17,2025-09-21,349,349,Wholesale,76.95,0.2,MAT00049,PO000326
ORD000082,2025-09-01,2025-09-01,2025-09-05,230,230,Wholesale,179.4,0.2,MAT00027,PO000258
ORD000083,2025-09-01,2025-09-03,2025-09-08,301,301,Retail,108.37,0.4,MAT00044,PO000400
ORD000084,2025-10-22,2025-10-22,2025-10-23,83,83,Wholesale,110.21,0.2,MAT00044,PO000114
ORD000085,2025-07-28,2025-07-30,2025-08-01,263,263,Wholesale,205.95,0.2,MAT00092,PO000062
ORD000086,2025-08-01,2025-08-02,2025-08-04,499,499,Retail,374.39,0.4,MAT00017,PO000310
ORD000087,2025-08-03,2025-08-06,2025-08-11,496,496,Wholesale,151,0.2,MAT00033,PO000349
ORD000088,2025-10-12,2025-10-13,2025-10-17,231,231,Wholesale,119.43,0.2,MAT00001,PO000050
ORD000089,2025-07-28,2025-07-28,2025-08-02,102,102,Ecom,185.92,0.5,MAT00063,PO000298
ORD000090,2025-08-01,2025-08-04,2025-08-09,85,85,Wholesale,224.42,0.2,MAT00029,PO000496
ORD000091,2025-09-04,2025-09-07,2025-09-10,582,582,Ecom,202.5,0.5,MAT00095,PO000417
ORD000092,2025-07-05,2025-07-07,2025-07-10,342,342,Ecom,325.45,0.5,MAT00085,PO000434
ORD000093,2025-09-04,2025-09-05,2025-09-09,107,107,Wholesale,358.57,0.2,MAT00004,PO000191
ORD000094,2025-07-24,2025-07-26,2025-07-27,132,132,Ecom,163.96,0.5,MAT00051,PO000069
ORD000095,2025-09-25,2025-09-25,2025-09-28,233,233,Ecom,397.91,0.5,MAT00026,PO000321
ORD000096,2025-09-29,2025-09-30,2025-10-02,103,103,Retail,185.32,0.4,MAT00069,PO000141
ORD000097,2025-09-09,2025-09-09,2025-09-10,562,562,Retail,303.69,0.4,MAT00068,PO000500
ORD000098,2025-10-23,2025-10-23,2025-10-24,173,173,Wholesale,235.56,0.2,MAT00110,PO000404
ORD000099,2025-08-19,2025-08-22,2025-08-25,513,513,Wholesale,179.71,0.2,MAT00013,PO000409
ORD000100,2025-09-25,2025-09-26,2025-10-01,44,40,Ecom,386,0.5,MAT00055,PO000474
ORD000101,2025-06-01,2025-06-03,2025-06-05,369,369,Wholesale,270.41,0.2,MAT00022,PO000336
ORD000102,2025-10-25,2025-10-28,2025-10-31,329,329,Wholesale,238.69,0.2,MAT00008,PO000142
ORD000103,2025-10-02,2025-10-05,2025-10-06,588,586,Ecom,95.54,0.5,MAT00080,PO000507
ORD000104,2025-07-07,2025-07-08,2025-07-12,182,182,Wholesale,67.97,0.2,MAT00018,PO000319
ORD000105,2025-06-04,2025-06-06,2025-06-07,463,463,Wholesale,334.27,0.2,MAT00093,PO000049
ORD000106,2025-09-27,2025-09-27,2025-09-29,502,502,Ecom,286.98,0.5,MAT00061,PO000108
ORD000107,2025-08-11,2025-08-11,2025-08-16,124,123,Retail,377.74,0.4,MAT00077,PO000208
ORD000108,2025-06-02,2025-06-02,2025-06-04,524,524,Retail,228.62,0.4,MAT00086,PO000227
ORD000109,2025-06-09,2025-06-10,2025-06-12,553,553,Wholesale,134.67,0.2,MAT00029,PO000452
ORD000110,2025-10-10,2025-10-10,2025-10-14,20,20,Ecom,171.07,0.5,MAT00050,PO000403
ORD000111,2025-08-31,2025-09-02,2025-09-05,51,51,Ecom,44.76,0.5,MAT00072,PO000477
ORD000112,2025-10-03,2025-10-06,2025-10-10,506,506,Retail,211.37,0.4,MAT00095,PO000379
ORD000113,2025-06-21,2025-06-23,2025-06-26,136,136,Retail,123.67,0.4,MAT00110,PO000175
ORD000114,2025-06-12,2025-06-12,2025-06-15,23,23,Ecom,221.45,0.5,MAT00039,PO000241
ORD000115,2025-06-04,2025-06-06,2025-06-07,406,406,Ecom,70.98,0.5,MAT00078,PO000139
ORD000116,2025-09-04,2025-09-07,2025-09-10,481,481,Wholesale,251.17,0.2,MAT00055,PO000200
ORD000117,2025-09-25,2025-09-25,2025-09-29,318,318,Ecom,254.93,0.5,MAT00034,PO000131
ORD000118,2025-08-19,2025-08-22,2025-08-27,129,129,Retail,201.19,0.4,MAT00073,PO000359
ORD000119,2025-06-16,2025-06-19,2025-06-21,215,207,Retail,182.56,0.4,MAT00020,PO000493
ORD000120,2025-09-12,2025-09-13,2025-09-16,500,500,Wholesale,56.43,0.2,MAT00049,PO000509
ORD000121,2025-06-08,2025-06-10,2025-06-15,111,111,Ecom,136.09,0.5,MAT00053,PO000107
ORD000122,2025-10-14,2025-10-15,2025-10-16,240,240,Wholesale,379.6,0.2,MAT00097,PO000443
ORD000123,2025-08-31,2025-09-01,2025-09-04,357,357,Wholesale,54.7,0.2,MAT00096,PO000288
ORD000124,2025-09-03,2025-09-05,2025-09-07,492,492,Retail,245.71,0.4,MAT00008,PO000103
ORD000125,2025-06-03,2025-06-03,2025-06-08,348,348,Ecom,63.44,0.5,MAT00110,PO000096
ORD000126,2025-10-08,2025-10-08,2025-10-13,95,95,Wholesale,83.53,0.2,MAT00039,PO000466
ORD000127,2025-06-22,2025-06-24,2025-06-29,263,263,Ecom,199.29,0.5,MAT00037,PO000427
ORD000128,2025-08-05,2025-08-06,2025-08-08,568,568,Wholesale,281.57,0.2,MAT00100,PO000357
ORD000129,2025-06-19,2025-06-22,2025-06-23,371,371,Wholesale,105.72,0.2,MAT00099,PO000338
ORD000130,2025-07-29,2025-07-31,2025-08-05,581,581,Ecom,362.33,0.5,MAT00039,PO000038
ORD000131,2025-08-10,2025-08-10,2025-08-11,556,556,Ecom,149.49,0.5,MAT00094,PO000518
ORD000132,2025-09-05,2025-09-08,2025-09-13,115,115,Retail,276.41,0.4,MAT00076,PO000459
ORD000133,2025-10-13,2025-10-13,2025-10-15,496,496,Wholesale,224.08,0.2,MAT00066,PO000086
ORD000134,2025-07-25,2025-07-28,2025-07-31,327,327,Wholesale,213.81,0.2,MAT00092,PO000250
ORD000135,2025-08-13,2025-08-16,2025-08-21,173,173,Wholesale,327.27,0.2,MAT00060,PO000347
ORD000136,2025-09-18,2025-09-19,2025-09-22,456,456,Retail,145.76,0.4,MAT00079,PO000349
ORD000137,2025-06-26,2025-06-26,2025-07-01,248,248,Retail,154.76,0.4,MAT00059,PO000108
ORD000138,2025-08-25,2025-08-26,2025-08-31,118,118,Ecom,211.28,0.5,MAT00098,PO000437
ORD000139,2025-08-08,2025-08-09,2025-08-10,280,273,Ecom,214.52,0.5,MAT00039,PO000045
ORD000140,2025-10-23,2025-10-23,2025-10-28,219,219,Retail,316.58,0.4,MAT00049,PO000207
ORD000141,2025-09-09,2025-09-11,2025-09-13,447,447,Ecom,54.5,0.5,MAT00087,PO000275
ORD000142,2025-07-03,2025-07-05,2025-07-08,359,359,Retail,327.23,0.4,MAT00022,PO000212
ORD000143,2025-08-20,2025-08-20,2025-08-22,405,405,Wholesale,395.64,0.2,MAT00089,PO000325
ORD000144,2025-07-05,2025-07-07,2025-07-09,30,30,Ecom,135.1,0.5,MAT00045,PO000411
ORD000145,2025-09-09,2025-09-09,2025-09-10,175,175,Retail,131.82,0.4,MAT00080,PO000353
ORD000146,2025-06-06,2025-06-07,2025-06-10,57,57,Retail,355.28,0.4,MAT00057,PO000164
ORD000147,2025-06-27,2025-06-29,2025-07-03,379,379,Wholesale,183.78,0.2,MAT00106,PO000392
ORD000148,2025-09-27,2025-09-28,2025-10-02,182,175,Ecom,156.9,0.5,MAT00096,PO000347
ORD000149,2025-10-03,2025-10-03,2025-10-04,333,333,Retail,49.73,0.4,MAT00007,PO000318
ORD000150,2025-08-28,2025-08-30,2025-09-02,192,192,Wholesale,43.16,0.2,MAT00038,PO000084
ORD000151,2025-07-11,2025-07-11,2025-07-16,24,24,Retail,335.19,0.4,MAT00086,PO000459
ORD000152,2025-10-26,2025-10-28,2025-10-31,118,118,Retail,122.94,0.4,MAT00070,PO000298
ORD000153,2025-08-20,2025-08-23,2025-08-28,360,360,Retail,216.11,0.4,MAT00006,PO000102
ORD000154,2025-08-05,2025-08-05,2025-08-07,251,247,Retail,116.9,0.4,MAT00001,PO000100
ORD000155,2025-08-31,2025-09-01,2025-09-05,28,28,Ecom,305.51,0.5,MAT00035,PO000289
ORD000156,2025-10-11,2025-10-12,2025-10-17,75,75,Retail,131.45,0.4,MAT00100,PO000357
ORD000157,2025-07-10,2025-07-11,2025-07-14,184,184,Wholesale,142.69,0.2,MAT00024,PO000518
ORD000158,2025-09-26,2025-09-28,2025-10-03,158,158,Wholesale,58.26,0.2,MAT00035,PO000339
ORD000159,2025-07-25,2025-07-25,2025-07-27,221,221,Wholesale,67.29,0.2,MAT00091,PO000003
ORD000160,2025-07-29,2025-07-31,2025-08-01,459,459,Ecom,279.08,0.5,MAT00063,PO000377
ORD000161,2025-10-31,2025-10-31,2025-11-05,583,576,Ecom,212.22,0.5,MAT00088,PO000280
ORD000162,2025-06-19,2025-06-22,2025-06-26,274,274,Wholesale,196.27,0.2,MAT00061,PO000310
ORD000163,2025-10-30,2025-10-31,2025-11-03,338,338,Retail,144.62,0.4,MAT00104,PO000057
ORD000164,2025-06-04,2025-06-05,2025-06-08,250,250,Retail,309.69,0.4,MAT00097,PO000478
ORD000165,2025-07-24,2025-07-24,2025-07-29,172,172,Ecom,62.72,0.5,MAT00066,PO000132
ORD000166,2025-09-05,2025-09-05,2025-09-07,247,247,Ecom,54.3,0.5,MAT00020,PO000064
ORD000167,2025-09-09,2025-09-10,2025-09-12,203,203,Retail,392.23,0.4,MAT00021,PO000033
ORD000168,2025-06-28,2025-06-30,2025-07-01,268,268,Wholesale,201.58,0.2,MAT00061,PO000461
ORD000169,2025-07-22,2025-07-25,2025-07-28,90,90,Retail,380.05,0.4,MAT00104,PO000491
ORD000170,2025-09-13,2025-09-15,2025-09-20,151,151,Ecom,285.74,0.5,MAT00027,PO000451
ORD000171,2025-07-11,2025-07-11,2025-07-15,509,509,Retail,96.31,0.4,MAT00083,PO000464
ORD000172,2025-09-22,2025-09-24,2025-09-29,110,110,Wholesale,143.71,0.2,MAT00090,PO000226
ORD000173,2025-08-30,2025-09-01,2025-09-04,295,295,Wholesale,55.46,0.2,MAT00030,PO000304
ORD000174,2025-08-06,2025-08-09,2025-08-12,319,319,Retail,129.65,0.4,MAT00034,PO000496
ORD000175,2025-10-26,2025-10-26,2025-10-29,125,125,Wholesale,337.79,0.2,MAT00104,PO000360
ORD000176,2025-07-29,2025-08-01,2025-08-04,392,392,Retail,205.25,0.4,MAT00013,PO000427
ORD000177,2025-06-11,2025-06-11,2025-06-14,84,84,Ecom,294.05,0.5,MAT00040,PO000484
ORD000178,2025-07-15,2025-07-15,2025-07-20,594,594,Wholesale,112.52,0.2,MAT00017,PO000350
ORD000179,2025-06-07,2025-06-08,2025-06-10,89,89,Wholesale,119.29,0.2,MAT00107,PO000079
ORD000180,2025-10-06,2025-10-08,2025-10-09,194,194,Ecom,75.61,0.5,MAT00005,PO000097
ORD000181,2025-10-03,2025-10-05,2025-10-07,83,83,Wholesale,156.58,0.2,MAT00056,PO000359
ORD000182,2025-09-25,2025-09-26,2025-09-27,29,29,Wholesale,222.57,0.2,MAT00063,PO000158
ORD000183,2025-08-05,2025-08-05,2025-08-08,46,46,Wholesale,384.89,0.2,MAT00102,PO000507
ORD000184,2025-09-12,2025-09-12,2025-09-16,530,530,Ecom,228.04,0.5,MAT00034,PO000037
ORD000185,2025-10-07,2025-10-07,2025-10-11,574,574,Wholesale,336.72,0.2,MAT00103,PO000455
ORD000186,2025-06-02,2025-06-04,2025-06-08,387,382,Ecom,110.94,0.5,MAT00047,PO000363
ORD000187,2025-10-27,2025-10-28,2025-10-31,511,511,Wholesale,280.18,0.2,MAT00009,PO000318
ORD000188,2025-06-06,2025-06-09,2025-06-13,422,422,Ecom,215.47,0.5,MAT00077,PO000370
ORD000189,2025-07-15,2025-07-17,2025-07-19,54,54,Ecom,237.35,0.5,MAT00002,PO000283
ORD000190,2025-08-31,2025-08-31,2025-09-01,290,287,Wholesale,380.84,0.2,MAT00089,PO000318
ORD000191,2025-08-09,2025-08-12,2025-08-15,290,290,Retail,263.34,0.4,MAT00020,PO000246
ORD000192,2025-06-30,2025-07-01,2025-07-06,394,394,Wholesale,384.47,0.2,MAT00074,PO000089
ORD000193,2025-07-21,2025-07-23,2025-07-24,407,407,Retail,352.6,0.4,MAT00033,PO000436
ORD000194,2025-08-28,2025-08-29,2025-08-30,245,245,Wholesale,251.07,0.2,MAT00019,PO000014
ORD000195,2025-07-07,2025-07-10,2025-07-13,152,152,Retail,97.99,0.4,MAT00109,PO000093
ORD000196,2025-10-10,2025-10-12,2025-10-14,310,306,Wholesale,180.55,0.2,MAT00030,PO000414
ORD000197,2025-06-21,2025-06-22,2025-06-26,444,441,Ecom,225.55,0.5,MAT00027,PO000341
ORD000198,2025-07-05,2025-07-06,2025-07-11,239,239,Wholesale,387.73,0.2,MAT00027,PO000356
ORD000199,2025-10-21,2025-10-24,2025-10-28,347,347,Retail,302.27,0.4,MAT00059,PO000499
ORD000200,2025-09-24,2025-09-24,2025-09-25,39,39,Retail,147,0.4,MAT00074,PO000410
ORD000201,2025-08-29,2025-08-30,2025-09-01,476,476,Retail,258.54,0.4,MAT00025,PO000479
ORD000202,2025-10-28,2025-10-28,2025-11-02,193,193,Wholesale,208.9,0.2,MAT00107,PO000192
ORD000203,2025-10-17,2025-10-19,2025-10-20,574,574,Wholesale,371.03,0.2,MAT00053,PO000096
